Flight_ID,Delay_Code,DelayCode_ID,DATOP_UTC,FLIGHT_NO,STD_UTC,ATD_UTC,STA_UTC,ATA_UTC,Delay_Minutes,Controllable
90764,FRI,243,18/1/2018,UO1043,2018-01-18T23:55:00,2018-01-19T00:32:00,2018-01-19T03:00:00,2018-01-19T03:13:00,37,1
90782,FAO,229,18/1/2018,UO1086,2018-01-18T08:45:00,2018-01-18T08:49:00,2018-01-18T12:20:00,2018-01-18T11:45:00,4,1
90892,PDO,275,18/1/2018,UO1097,2018-01-18T18:05:00,2018-01-18T18:30:00,2018-01-18T21:25:00,2018-01-18T21:56:00,25,1
90915,SGK,309,18/1/2018,UO1150,2018-01-18T11:15:00,2018-01-18T11:18:00,2018-01-18T16:40:00,2018-01-18T16:29:00,3,1
90969,FTW,255,18/1/2018,UO1182,2018-01-18T06:05:00,2018-01-18T06:22:00,2018-01-18T11:30:00,2018-01-18T12:06:00,17,1
91044,RAO,298,18/1/2018,UO1204,2018-01-18T07:55:00,2018-01-18T08:08:00,2018-01-18T13:20:00,2018-01-18T13:56:00,13,1
91053,FRI,243,18/1/2018,UO1345,2018-01-18T01:50:00,2018-01-18T02:23:00,2018-01-18T05:25:00,2018-01-18T05:56:00,33,1
91141,FAO,229,18/1/2018,UO1586,2018-01-18T23:40:00,2018-01-18T23:52:00,2018-01-19T01:50:00,2018-01-19T02:03:00,12,1
91204,TMT,322,18/1/2018,UO1703,2018-01-18T03:00:00,2018-01-18T03:24:00,2018-01-18T06:10:00,2018-01-18T06:41:00,24,1
91382,POK,288,18/1/2018,UO1997,2018-01-18T01:45:00,2018-01-18T01:52:00,2018-01-18T06:00:00,2018-01-18T05:13:00,7,1
91396,PDE,276,18/1/2018,UO1998,2018-01-18T06:55:00,2018-01-18T06:58:00,2018-01-18T10:45:00,2018-01-18T11:03:00,3,1
91418,FAO,229,18/1/2018,UO2177,2018-01-18T06:55:00,2018-01-18T07:02:00,2018-01-18T10:30:00,2018-01-18T10:33:00,7,1
94716,FRM,246,18/1/2018,UO2545,2018-01-18T11:00:00,2018-01-18T11:16:00,2018-01-18T13:10:00,2018-01-18T13:10:00,16,1
91520,PHO,283,18/1/2018,UO2546,2018-01-18T09:55:00,2018-01-18T13:52:00,2018-01-18T12:15:00,2018-01-18T15:40:00,237,1
91527,FAS,228,18/1/2018,UO3137,2018-01-18T04:05:00,2018-01-18T04:28:00,2018-01-18T07:20:00,2018-01-18T07:26:00,23,1
91649,GFS,175,18/1/2018,UO4231,2018-01-18T00:15:00,2018-01-18T00:18:00,2018-01-18T03:50:00,2018-01-18T03:48:00,3,1
89862,FRR,249,19/1/2018,UO515,2018-01-19T02:50:00,2018-01-19T03:17:00,2018-01-19T04:30:00,2018-01-19T04:54:00,27,1
89941,TCT,312,19/1/2018,UO559,2018-01-19T12:30:00,2018-01-19T12:32:00,2018-01-19T14:45:00,2018-01-19T14:47:00,2,1
89982,TMT,322,19/1/2018,UO560,2018-01-19T00:40:00,2018-01-19T00:55:00,2018-01-19T02:45:00,2018-01-19T03:20:00,15,1
90053,PHR,285,19/1/2018,UO886,2018-01-19T01:45:00,2018-01-19T01:50:00,2018-01-19T03:40:00,2018-01-19T03:40:00,5,1
90086,RAT,299,19/1/2018,UO891,2018-01-19T08:35:00,2018-01-19T08:40:00,2018-01-19T10:35:00,2018-01-19T10:46:00,5,1
90194,EFK,264,19/1/2018,UO933,2018-01-19T23:45:00,2018-01-19T23:53:00,2018-01-20T03:00:00,2018-01-20T02:59:00,8,1
90330,GLH,180,19/1/2018,UO952,2018-01-19T03:35:00,2018-01-19T03:45:00,2018-01-19T06:55:00,2018-01-19T07:46:00,10,1
90374,FTM,254,19/1/2018,UO955,2018-01-19T10:15:00,2018-01-19T10:20:00,2018-01-19T14:10:00,2018-01-19T14:00:00,5,1
90528,FRT,247,19/1/2018,UO960,2018-01-19T13:05:00,2018-01-19T13:17:00,2018-01-19T16:55:00,2018-01-19T17:07:00,12,1
90546,PHD,294,19/1/2018,UO971,2018-01-19T04:50:00,2018-01-19T05:02:00,2018-01-19T08:10:00,2018-01-19T08:17:00,12,1
90613,FRG,241,19/1/2018,UO1006,2018-01-19T01:15:00,2018-01-19T01:29:00,2018-01-19T04:40:00,2018-01-19T04:37:00,14,1
90665,RCA,301,19/1/2018,UO1019,2018-01-19T01:15:00,2018-01-19T01:43:00,2018-01-19T04:50:00,2018-01-19T05:16:00,28,1
90773,FSS,252,19/1/2018,UO1046,2018-01-19T04:10:00,2018-01-19T04:12:00,2018-01-19T06:40:00,2018-01-19T06:50:00,2,1
90848,POK,288,19/1/2018,UO1098,2018-01-19T13:20:00,2018-01-19T13:25:00,2018-01-19T17:05:00,2018-01-19T17:04:00,5,1
90946,FRH,242,19/1/2018,UO1181,2018-01-19T01:20:00,2018-01-19T01:41:00,2018-01-19T05:20:00,2018-01-19T05:50:00,21,1
90965,PHD,294,19/1/2018,UO1182,2018-01-19T06:05:00,2018-01-19T06:58:00,2018-01-19T11:30:00,2018-01-19T12:23:00,53,1
90990,CPP,220,19/1/2018,UO1203,2018-01-19T02:50:00,2018-01-19T02:55:00,2018-01-19T07:10:00,2018-01-19T06:54:00,5,1
91022,SGK,309,19/1/2018,UO1204,2018-01-19T07:55:00,2018-01-19T08:00:00,2018-01-19T14:00:00,2018-01-19T14:00:00,5,1
91092,PDD,277,19/1/2018,UO1585,2018-01-19T13:10:00,2018-01-19T13:17:00,2018-01-19T15:45:00,2018-01-19T16:01:00,7,1
91155,PHE,279,19/1/2018,UO1663,2018-01-19T05:00:00,2018-01-19T05:13:00,2018-01-19T08:30:00,2018-01-19T08:37:00,13,1
91208,FAF,225,19/1/2018,UO1703,2018-01-19T03:00:00,2018-01-19T03:16:00,2018-01-19T06:10:00,2018-01-19T06:34:00,16,1
91239,FRE,240,19/1/2018,UO1704,2018-01-19T06:55:00,2018-01-19T07:20:00,2018-01-19T11:10:00,2018-01-19T11:09:00,25,1
91271,FLI,234,19/1/2018,UO1917,2018-01-19T01:10:00,2018-01-19T01:15:00,2018-01-19T04:40:00,2018-01-19T04:50:00,5,1
91297,FTI,253,19/1/2018,UO1918,2018-01-19T05:25:00,2018-01-19T05:41:00,2018-01-19T09:55:00,2018-01-19T10:33:00,16,1
91368,FRE,240,19/1/2018,UO1980,2018-01-19T10:00:00,2018-01-19T10:38:00,2018-01-19T15:25:00,2018-01-19T15:59:00,38,1
91570,TTL,319,19/1/2018,UO3385,2018-01-19T08:20:00,2018-01-19T08:22:00,2018-01-19T10:10:00,2018-01-19T10:05:00,2,1
91645,CDE,214,19/1/2018,UO4231,2018-01-19T06:00:00,2018-01-19T06:02:00,2018-01-19T09:35:00,2018-01-19T09:30:00,2,1
89778,FRB,238,20/1/2018,UO376,2018-01-20T19:45:00,2018-01-20T19:58:00,2018-01-21T00:40:00,2018-01-21T00:36:00,13,1
89910,FRT,247,20/1/2018,UO516,2018-01-20T06:15:00,2018-01-20T06:51:00,2018-01-20T07:50:00,2018-01-20T08:25:00,36,1
89960,PDO,275,20/1/2018,UO560,2018-01-20T00:40:00,2018-01-20T01:12:00,2018-01-20T03:10:00,2018-01-20T03:28:00,32,1
90091,FAS,228,20/1/2018,UO891,2018-01-20T08:35:00,2018-01-20T08:38:00,2018-01-20T10:35:00,2018-01-20T10:30:00,3,1
90199,RAG,296,20/1/2018,UO933,2018-01-20T23:45:00,2018-01-20T23:57:00,2018-01-21T03:00:00,2018-01-21T03:00:00,12,1
90379,GBS,169,20/1/2018,UO955,2018-01-20T10:15:00,2018-01-20T10:29:00,2018-01-20T14:10:00,2018-01-20T14:16:00,14,1
90410,PEC,286,20/1/2018,UO956,2018-01-20T14:55:00,2018-01-20T15:06:00,2018-01-20T20:05:00,2018-01-20T20:05:00,11,1
90440,GLH,180,20/1/2018,UO957,2018-01-20T15:50:00,2018-01-20T15:56:00,2018-01-20T19:45:00,2018-01-20T19:35:00,6,1
90502,PEC,286,20/1/2018,UO959,2018-01-20T07:50:00,2018-01-20T08:03:00,2018-01-20T12:05:00,2018-01-20T11:42:00,13,1
90564,FSS,252,20/1/2018,UO971,2018-01-20T05:05:00,2018-01-20T05:13:00,2018-01-20T08:20:00,2018-01-20T08:44:00,8,1
90635,PDO,275,20/1/2018,UO1009,2018-01-20T18:30:00,2018-01-20T18:36:00,2018-01-20T21:20:00,2018-01-20T21:20:00,6,1
90670,FLW,236,20/1/2018,UO1019,2018-01-20T01:15:00,2018-01-20T01:16:00,2018-01-20T04:50:00,2018-01-20T04:49:00,1,1
90902,GBS,169,20/1/2018,UO1097,2018-01-20T18:05:00,2018-01-20T18:13:00,2018-01-20T21:25:00,2018-01-20T21:11:00,8,1
90853,PHO,283,20/1/2018,UO1098,2018-01-20T13:20:00,2018-01-20T13:21:00,2018-01-20T17:05:00,2018-01-20T17:16:00,1,1
90961,POK,288,20/1/2018,UO1182,2018-01-20T06:05:00,2018-01-20T06:29:00,2018-01-20T11:30:00,2018-01-20T12:10:00,24,1
91027,PDD,277,20/1/2018,UO1204,2018-01-20T07:55:00,2018-01-20T08:35:00,2018-01-20T14:00:00,2018-01-20T14:08:00,40,1
